district,number
MANHATTAN 2,508.59
MANHATTAN 3,1215.75
MANHATTAN 6,2566.52
MANHATTAN 5,2697.11
MANHATTAN 4,2964.74
MANHATTAN 1,3538.26
BROOKLYN 2,4067.85
BROOKLYN 1,4465.32
MANHATTAN 8,5618.23
BROOKLYN 6,5817.51
