district,number
STATEN ISLAND 1,429
BRONX 4,230
MANHATTAN 11,202
BROOKLYN 5,199
MANHATTAN 3,189
BROOKLYN 9,182
BRONX 1,175
BRONX 6,167
MANHATTAN 12,160
QUEENS 14,153
